Location of help or hover text,Plain Text,Text with HTML tag
country_budget_items.attributes.country_budget_vocabulary.hover_text,An IATI code for the common functional classification or country system.,An IATI code for the common functional classification or country system.
country_budget_items.attributes.country_budget_vocabulary.help_text,,
country_budget_items.sub_elements.budget_item.hover_text,"Identifier for a single item in the recipient country budget. If more than one identifier is reported, the percentage share must be reported and all percentages should add up to 100%.","Identifier for a single item in the recipient country budget. If more than one identifier is reported, the percentage share must be reported and all percentages should add up to 100%."
country_budget_items.sub_elements.budget_item.attributes.code.hover_text,Select a code for the budget item from the vocabulary specified.,Select a code for the budget item from the vocabulary specified.
country_budget_items.sub_elements.budget_item.attributes.code.help_text,,
country_budget_items.sub_elements.budget_item.attributes.percentage.hover_text,"When multiple budget items are declared, the percentage values should add up to 100% for each vocabulary used.","When multiple budget items are declared, the percentage values should add up to 100% for each vocabulary used."
country_budget_items.sub_elements.budget_item.attributes.percentage.help_text,,
country_budget_items.sub_elements.budget_item.sub_elements.description.hover_text,A longer description of the budget item that may be repeated in different languages.,A longer description of the budget item that may be repeated in different languages.
country_budget_items.sub_elements.budget_item.sub_elements.description.sub_elements.narrative.hover_text,,
country_budget_items.sub_elements.budget_item.sub_elements.description.sub_elements.narrative.help_text,,
country_budget_items.sub_elements.budget_item.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
country_budget_items.sub_elements.budget_item.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
humanitarian_scope.hover_text,You can use this section to specify the emergency or appeal that your activity is responding to. Click here for more information,You can use this section to specify the emergency or appeal that your activity is responding to.<br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/humanitarian-scope/'>Click here for more information</a>
humanitarian_scope.help_text,,
humanitarian_scope.attributes.type.hover_text,"Select which type of information you can provide:Emergencies (type 1)Select this option if you can provide the GLIDE number for the specific humanitarian emergency that your activity is responding to, or if you can declare a code for the emergency from another public list.Appeals (type 2)Select this option if your activity is contributing to a UN Office for the Coordination of Humanitarian Affairs (OCHA) Humanitarian Response Plan or Flash Appeal. These codes are created by UN OCHA for use in their Financial Tracking Service (FTS). Alternatively, you can declare a code for the appeal from another public list.","Select which type of information you can provide:<br><br><b>Emergencies (type 1)</b><br>Select this option if you can provide the GLIDE number for the specific humanitarian emergency that your activity is responding to. Alternatively, you can declare a code for the emergency from another public list.<br><br><b>Appeals (type 2)</b><br>Select this option if your activity is contributing to a UN Office for the Coordination of Humanitarian Affairs (OCHA) <a target='_blank' href='https://fts.unocha.org/plan-code-list-iati'>Humanitarian Response Plan or Flash Appeal</a>. These codes are created by UN OCHA for use in their Financial Tracking Service (FTS). Alternatively, you can declare a code for the appeal from another public list.</ul>"
humanitarian_scope.attributes.type.help_text,,
humanitarian_scope.attributes.vocabulary.hover_text,Select the list that you will use to identify the emergency or appeal that your activity is responding to:1-2 Glide2-1 Humanitarian Plan99 Reporting Organisation - select this option if you can declare a code for the emergency or appeal from an alternative public list.,Select the list that you will use to identify the emergency or appeal that your activity is responding to:<br><br><b>1-2 -<a target='_blank' href='http://glidenumber.net/glide/public/search/search.jsp'>Glide</a></b><br><b>2-1 -<a target='_blank' href='https://fts.unocha.org/plan-code-list-iati'>Humanitarian Plan</a></b><br><b>99 - Reporting Organisation</b> - select this option if you can declare a code for the emergency or appeal from an alternative public list.
humanitarian_scope.attributes.vocabulary.help_text,,
humanitarian_scope.attributes.vocabulary_uri.hover_text,"Provide a link to the list of emergencies or appeals that you will use, which includes its codes and descriptions.","Provide a link to the list of emergencies or appeals that you will use, which includes its codes and descriptions."
humanitarian_scope.attributes.vocabulary_uri.help_text,,
humanitarian_scope.attributes.code.hover_text,"Provide the code for the specific emergency or appeal that your activity is responding to.For example, if you are providing a code for an emergency that has a Glide Number, the format for this code would be: [Emergency Type] + [Year] + [Number] + [Country].","Provide the code for the specific emergency or appeal that your activity is responding to.<br><br>For example, if you are providing a code for an emergency that has a <a target='_blank' href='https://glidenumber.net/glide/public/search/search.jsp'>Glide Number</a>, the format for this code would be: [Emergency Type] + [Year] + [Number] + [Country]."
humanitarian_scope.attributes.code.help_text,,
humanitarian_scope.sub_elements.narrative.hover_text,"If you have used a code for the emergency or appeal from an alternative public list (i.e. you have selected '99 - Reporting Organisation' above), please provide a description of the code that you have specified.","If you have used a code for the emergency or appeal from an alternative public list (i.e. you have selected '99 - Reporting Organisation' above), please provide a description of the code that you have specified."
humanitarian_scope.sub_elements.narrative.help_text,,
humanitarian_scope.sub_elements.narrative.attributes.language.hover_text,,
