 Activity Identifier, Activity Default Currency, Activity Default Language, Humanitarian, Activity Title, Activity Description (General), Activity Description (Objectives), Activity Description (Target Groups), Activity Description (Others), Activity Status, Actual Start Date, Actual End Date, Planned Start Date, Planned End Date, Participating Organisation Role, Participating Organisation Type, Participating Organisation Name, Participating Organisation Identifier, Recipient Country Code, Recipient Country Percentage, Recipient Region Code, Recipient Region Percentage, Sector Vocabulary,Sector Vocabulary URI, Sector Code, Sector Percentage, Sector Narrative, Transaction Internal Reference, Transaction Type, Transaction Date, Transaction Value, Transaction Value Date, Transaction Description, Transaction Provider Organisation Identifier, Transaction Provider Organisation Type, Transaction Provider Organisation Activity Identifier, Transaction Provider Organisation Description, Transaction Receiver Organisation Identifier, Transaction Receiver Organisation Type, Transaction Receiver Organisation Activity Identifier, Transaction Receiver Organisation Description, Transaction Sector Vocabulary, Transaction Sector Vocabulary URI, Transaction Sector Code,Transaction Sector Narrative, Transaction Recipient Country Code, Transaction Recipient Region Code, Policy Marker Vocabulary, Policy Marker Code, Policy Marker Significance, Activity Scope, Budget Type, Budget Status, Budget Period Start, Budget Period End, Budget Value, Budget Value Date, Budget Currency, Related Activity Identifier, Related Activity Type, Contact Type, Contact Organization, Contact Department, Contact Person Name, Contact Job Title, Contact Telephone, Contact Email, Contact Website, Contact Mailing Address
4206-OSBP,USD,en,0,Ruzizi II One Stop Border Post (OSBP) Infrastructure Upgrade,"Ruzizi 2 border post carries most of the heavy trucks traffic between Rwanda and DRC, particularly to Bukavu. At Ruzizi 2 smaller-scale traders are underserved and prefer to use Ruzizi premier. Border offices on both sides of the border and the bridge will be upgraded. The offices will be supplied with water, power and appropriate office furniture. The current cross border market facility will be upgraded on the Bukavu side of the border to accommodate traders’ needs. This simple structure will facilitate commerce at the border post. Currently many traders are forced to sell on the side of the road as existing infrastructure is full. The road connecting the border post to the city of Bukavu is in a poor condition and in need of upgrade to reduce the damage to vehicles, as well as time and cost of moving goods along a relatively short distance. Under this programme the section of road that feeds in Ruzizi 2 border post (approximately 2.7km long each), will be upgraded including all necessary earthworks drainage. For safety reasons the road will also be fitted with electrical lighting. The bridge at Ruzizi 2 will also be rehabilitated.",,,,2,2018/07/01,,2018/07/01,2022/12/31,4,23,TradeMark East Africa,,CD,100,298,,1,,33120,50,,,3,2019/10/31,58020,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,21010,50,,,3,2020/01/31,21939,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/04/30,6602,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,49700,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/10/31,64862,2020/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/10/31 to 2020/12/31,,,,,,,,,,,,,,,,,,,2,2,2020/12/31,2020/12/31,0,2020/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/01/31,64862,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,58448,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,404260,2021/06/30,USD,,,,,,,,,,,
4124-EAC,USD,en,0,South Sudan East Africa Community (EAC) Implementation Road Map ,"The project aims to support the Government of South Sudan (GoSS) to adequately prepare to implement EAC Road Map commitment in a timely manner. Capacity building effort aims “to develop technical capabilities and in-depth knowledge of EAC programmes and policies, rules and regulations to aid it in the successful implementation of the EAC commitments",,,,2,2018/01/08,,2018/01/08,2021/06/30,4,23,TradeMark East Africa,,SS,100,298,,1,,33120,34,,,3,2019/10/31,358697,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,33130,33,,,3,2020/01/31,12000,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,33110,33,,,3,2020/04/30,24000,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/01/31,28500,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,12500,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,439925,2021/06/30,USD,,,,,,,,,,,
4113-SPS,USD,en,0,Sanitary and Pyto-Sanitary (SPS) Implementation Measures,"The project objective is to provide capacity building at the SSSNBS in standardisation and conformity assessment tasks in the national quality infrastructure and to address the private sector capacity in understanding the requirements of SQMTs related to national, regional and international trade, as well as food safety and consumers protection",,,,2,2018/04/01,,2018/04/01,2021/06/30,4,23,TradeMark East Africa,,SS,100,298,,1,,33120,34,,,3,2019/10/31,99812,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,33130,33,,,3,2020/01/31,20414,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,43073,33,,,3,2020/04/30,14400,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,10675,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/10/31,14400,2020/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/10/31 to 2020/12/31,,,,,,,,,,,,,,,,,,,2,2,2020/12/31,2020/12/31,0,2020/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/01/31,9740,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,27078,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,220301,2021/06/30,USD,,,,,,,,,,,
4104-SPS,USD,en,0,Integrated Border Management (IBM) at Nimule ,"The project will help to set up the institutional and legal framework necessary for collaboration in border management at inter-agency and bilateral levels, review and implement one stop border post procedures, train border agency officials, and install ICT networks, hardware, furniture and equipment.  Together with the OSBP construction project, the aim is to facilitate the efficient cross border movement of trucks/vehicles, goods and persons.",,,,2,2018/07/01,,2018/07/01,2021/06/30,4,23,TradeMark East Africa,,SS,100,298,,1,,33120,50,,,3,2019/10/31,254067,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,21010,50,,,3,2020/01/31,70408,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/04/30,38475,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,5158,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/10/31,50740,2020/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/10/31 to 2020/12/31,,,,,,,,,,,,,,,,,,,2,2,2020/12/31,2020/12/31,0,2020/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/01/31,114403,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,0,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,559718,2021/06/30,USD,,,,,,,,,,,
4103-OSBP,USD,en,0,Construction of One Stop Border Post (OSBP) at Nimule,"This project aims to construct and provide physical facilities at Nimule border that includes: administration buildings and an inspection shed to accommodate the adjoining states’ border agencies and roads to facilitate the exit and entry into the OSBP. The overall aim is to facilitate the efficient cross border movement of trucks/vehicles, goods and persons.  ",,,,2,2018/07/01,,2018/07/01,2020/03/31,4,23,TradeMark East Africa,,SS,100,298,,1,,33120,50,,,3,2019/10/31,2800047,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,21010,50,,,3,2020/01/31,702904,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/04/30,203000,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,3200,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/10/31,38214,2020/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/10/31 to 2020/12/31,,,,,,,,,,,,,,,,,,,2,2,2020/12/31,2020/12/31,0,2020/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/01/31,30779,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,-18421,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,3897126,2021/06/30,USD,,,,,,,,,,,
3903-LH,USD,en,0,Advocacy for Business Environment Improvement ,Implementation of CFCIB Public-Private Sector Dialogue for increased trade and investment in Burundi,,,,1,2020/06/01,,2020/06/01,2022/09/30,4,23,TradeMark East Africa,,BI,100,298,,1,,33120,50,,,3,2020/04/30,819,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,31162,50,,,3,2020/07/30,13610,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/10/31,34003,2020/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/10/31 to 2020/12/31,,,,,,,,,,,,,,,,,,,2,2,2020/12/31,2020/12/31,0,2020/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/01/31,37545,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,88918,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,94429,2021/06/30,USD,,,,,,,,,,,
3883-COVID19,USD,en,0,Safe Trade  Rwanda Country Programme -Tech Interventions (COVID-19),"Safe Trade Cluster 2 technology works will focus on three key broad intervention areas: 
1.	Regional Electronic Cargo and Driver Tracking System (RECDTS)
A digital-based solution that provides a trusted framework for sharing the mutually recognised EAC COVID-19 Test Certificates among Ministries of Health in the EAC, to facilitate movement of truck drivers across the region through elimination of multiple testing at entry points in the times of COVID-19. Support areas include;
a.	System development – including development of drivers, health, and enforcement officers mobile applications; geo-fencing of designated stop/rest areas along the major trade corridors in the EAC
b.	System integrations/interfaces to National Laboratory Systems. 
c.	System Infrastructure and operational support framework for the anchor platform (RECTS) - hosting support.
d.	Change management activities – sensitization/training of users (truck drivers, truck companies, health, and enforcement officers)

2.	Paperless border transactions
Enhancement of the SCT centralised platform to include automation of transit documents. This will limit the use of paper - a potential conduit of virus transmission, as well as limit human interaction in the times of COVID-19.

3.	Automatic identification and verification technologies (subject to availability of funds)
These will automate and further enhance clearance and release processes at border crossings, utilising technology to limit human interaction. These technologies will include;
a.	Smart gates. 
b.	Optical Character Recognition (OCR).
c.	Facial recognition. 
d.	Automatic number plate reader.",,,,1,2020/04/01,,2020/04/01,2021/02/28,4,23,TradeMark East Africa,,RW,100,298,,1,,33120,50,,,3,2020/10/31,8142,2020/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/10/31 to 2020/12/31,,,,,,,,,,,,,,,,,,,2,2,2020/12/31,2020/12/31,0,2020/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,22040,50,,,3,2021/01/31,46138,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
3874-WIT,USD,en,0,Support to Women Entrepreneurs,"The project specifically seeks to:
 (i) Increase access to information and trade support services: Small business owners (predominantly women) state that the several challenges including capacity needs, lack of professional services/skills, access to market information are hindrance to their ability to trade.  The project will aim to provide capacity in terms of skills and knowledge to enable women in selected value chains to trade formally, improve access finance and markets.  

 (ii)Increase trade value for women: According to studies, women trade in commodities with little or no value addition and are therefore disadvantaged as their returns on trade remain low. The project’s objective is to support women traders to access high value markets through trading in clusters/cooperatives and other groupings that support consolidation of resources and collective bargaining for cost reduction. The project will provide institutional capacity support to the Chamber of Women to enable it to provide much needed stewardship to women traders. 
The project with be implemented though a grant to Rwanda Women’s Chamber who are a national umbrella /apex representing women entrepreneurs. ",,,,2,2018/03/01,,2018/03/01,2023/03/31,4,23,TradeMark East Africa,,RW,100,298,,1,,33120,34,,,3,2019/10/31,162961,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,33120,33,,,3,2020/01/31,12998,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,15170,33,,,3,2020/04/30,131048,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,1950,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/01/31,12998,2021/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/01/31 to 2021/03/31,,,,,,,,,,,,,,,,,,,2,2,2021/03/31,2021/03/31,0,2021/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2021/04/30,19586,2021/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2021/04/30 to 2021/06/30,,,,,,,,,,,,,,,,,,,2,2,2021/06/30,2021/06/30,481757,2021/06/30,USD,,,,,,,,,,,
3863-EG,USD,en,0,Export Growth for Export Ready Businesses,"This project’s objective is to upgrade the capacity of well-established firms (Export Ready Businesses) to reach and thrive in new export markets. It involves providing firm level support on standards, pricing, competition, marketing, labelling, packaging and distribution in foreign markets, as well as direct hands-on market linkages. It involves hiring of TA and Young Professionals.

Key components for the project include;
1.	Export Development Programme (Firm level support, Export advisor initiative)
2.	Technical Assistance to RDB’s Export Dept and SEZAR
3.	Institutional Support through a Young Professionals Programme",,,,2,2018/07/01,,2018/07/01,2022/06/30,4,23,TradeMark East Africa,,RW,100,298,,1,,33120,50,,,3,2019/10/31,786577,2019/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2019/10/31 to 2019/12/31,,,,,,,,,,,,,,,,,,,2,2,2019/12/31,2019/12/31,0,2019/12/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,1,,31162,50,,,3,2020/01/31,70488,2020/03/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/01/31 to 2020/03/31,,,,,,,,,,,,,,,,,,,2,2,2020/03/31,2020/03/31,0,2020/03/31,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/04/30,44298,2020/06/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/04/30 to 2020/06/30,,,,,,,,,,,,,,,,,,,2,2,2020/06/30,2020/06/30,0,2020/06/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/07/30,230789,2020/09/30,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/07/30 to 2020/09/30,,,,,,,,,,,,,,,,,,,2,2,2020/09/30,2020/09/30,0,2020/09/30,USD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,298,,,,,,,,3,2020/10/31,51760,2020/12/31,The provided cumulative expenditure figures excludes the related overhead and project management costs for the period from 2020/10/31 to 2020/12/31,,,,,,,,,,,,,,,,,,,2,2,2020/12/31,2020/12/31,0,2020/12/31,USD,,,,,,,,,,,
